Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
95000,0.55,-0.73,1.46,0.11,0.97,-0.07,Wrong
95222,0.73,-0.67,1.46,0.12,0.14,0.99,Wrong
95531,8.67,2.93,4.7,-0.02,0.01,1.01,Wrong
95541,1.04,-0.06,1.28,0.12,0.43,0.89,Correct
95646,0.73,-0.61,1.4,-0.05,0.88,0.46,Correct
95737,0.73,-0.55,1.65,0.28,0.15,0.94,Correct
96000,0.61,-0.98,1.28,0.11,0.97,-0.07,Wrong
96222,0.73,-0.92,1.46,0.12,0.14,0.99,Wrong
96531,0.79,-1.89,1.4,0,0.04,1.01,Wrong
96541,2.08,-5.8,1.65,0.11,0.43,0.9,Correct
96646,0.85,-0.49,1.65,-0.05,0.87,0.46,Correct
96737,0.98,-0.61,1.65,0.28,0.15,0.95,Correct
97000,0.73,-0.31,1.53,0.12,0.97,-0.07,Wrong
97222,0.61,-0.85,1.46,0.12,0.14,0.99,Wrong
97531,0.61,-0.31,1.1,-0.06,0.04,1.01,Wrong
97541,-2.32,3.97,-9.22,0.16,0.33,0.92,Correct
97646,0.73,-0.67,1.59,-0.05,0.87,0.46,Correct
97737,0.92,-1.59,2.26,0.29,0.16,0.94,Correct
98000,0.92,-0.73,1.4,0.12,0.97,-0.07,Wrong
98222,0.79,-0.67,1.59,0.12,0.14,0.99,Wrong
98531,-0.43,-3.54,4.03,-0.03,0.04,1.01,Wrong
98541,-0.18,-9.46,-4.15,0.08,0.34,0.93,Correct
98646,0.92,-0.79,1.53,-0.05,0.88,0.46,Correct
98737,1.28,-0.06,1.77,0.29,0.16,0.95,Correct
99000,0.67,-0.98,1.4,0.11,0.97,-0.07,Wrong
99222,0.79,-0.85,1.46,0.12,0.14,0.99,Wrong
99531,0.37,1.34,1.95,-0.03,0.01,1.02,Wrong
99541,-0.06,1.83,2.08,0.15,0.41,0.91,Correct
99646,0.67,-0.49,1.34,-0.05,0.88,0.46,Correct
99737,0.55,-0.79,1.04,0.29,0.16,0.95,Correct
100000,0.73,0,2.08,0.11,0.97,-0.07,Wrong
100222,0.61,-0.79,1.53,0.12,0.14,0.99,Wrong
100531,0.24,-1.71,1.95,-0.05,0.05,1.01,Wrong
100541,0.98,-3.05,0.61,0.13,0.41,0.91,Correct
100646,0.79,-0.67,1.65,-0.05,0.87,0.46,Correct
